GENUS.SPECIES,DORMANCY.CLASS
Angelica archangelica,MPD
Angelica atropurpurea,MPD
Angelica dahurica,MPD
Angelica dahurica,MPD
Angelica decursiva,MPD
Angelica glauca,MPD
Angelica japonica,MD
Angelica nitida,MPD
Angelica sylvestris,MPD
Angelica sylvestris,MPD
Angophora costata,ND
Angophora floribunda,ND
Angophora inopina,ND
Aniba affinis,ND
Aniba canelilla,ND
Aniba firmula,PD
Aniba rosaeodora,PD
Anigozanthos bicolor,MPD
Anigozanthos flavidus,MPD
Anigozanthos gabrielae,MPD
Anigozanthos humilis,MPD
Anigozanthos manglesii,MPD
Anigozanthos manglesii,PD
Anigozanthos preissii,MPD
Anigozanthos pulcherrimus,MPD
Anigozanthos rufus,MPD
Anigozanthos viridis,MPD
Aningeria adolfi-friedericii,PD
Aningueria robusta,ND
Anisacanthus wrightii,PD
Anisodus tanguticus,PD
Anisophyllea corneri,PD
Anisophyllea disticha,PD
Anisophyllea grandis,PD
Anisophyllea griffithii,PD
Anisoptera cochinchinensis,ND
Anisoptera costata,ND
Anisoptera laevis,ND
Anisoptera marginata,ND
Anisoptera scaphula,ND
Anneslea fragrans,ND
Annona cherimola,MPD
Annona coriacea,MPD
Annona crassiflora,MPD
